ISO3,CountryName,Povcal_Region,WB_Region,UN_Region,Income_Group
AFG,Afghanistan,SAS,SAS,ASC,LIC
ALB,Albania,ECA,ECA,EUS,UMC
DZA,Algeria,MNA,MNA,AFN,UMC
ASM,American Samoa,EAP,EAP,OCP,UMC
AND,Andorra,OHI,ECA,EUS,HIC
AGO,Angola,SSA,SSA,AFM,LMC
ATG,Antigua and Barbuda,LAC,LAC,LAB,HIC
ARG,Argentina,LAC,LAC,LAS,UMC
ARM,Armenia,ECA,ECA,ASW,LMC
ABW,Aruba,OHI,LAC,LAB,HIC
AUS,Australia,OHI,EAP,OCA,HIC
AUT,Austria,OHI,ECA,EUW,HIC
AZE,Azerbaijan,ECA,ECA,ASW,UMC
BHS,"Bahamas, The",OHI,LAC,LAB,HIC
BHR,Bahrain,OHI,MNA,ASW,HIC
BGD,Bangladesh,SAS,SAS,ASC,LMC
BRB,Barbados,LAC,LAC,LAB,HIC
BLR,Belarus,ECA,ECA,EUE,UMC
BEL,Belgium,OHI,ECA,EUW,HIC
BLZ,Belize,LAC,LAC,LAC,UMC
BEN,Benin,SSA,SSA,AFW,LIC
BMU,Bermuda,OHI,LAC,LAN,HIC
BTN,Bhutan,SAS,SAS,ASC,LMC
BOL,Bolivia,LAC,LAC,LAS,LMC
BIH,Bosnia and Herzegovina,ECA,ECA,EUS,UMC
BWA,Botswana,SSA,SSA,AFS,UMC
BRA,Brazil,LAC,LAC,LAS,UMC
VGB,British Virgin Islands,OHI,LAC,LAB,HIC
BRN,Brunei Darussalam,OHI,EAP,ASS,HIC
BGR,Bulgaria,ECA,ECA,EUE,UMC
BFA,Burkina Faso,SSA,SSA,AFW,LIC
BDI,Burundi,SSA,SSA,AFE,LIC
CPV,Cabo Verde,SSA,SSA,AFW,LMC
KHM,Cambodia,EAP,EAP,ASS,LMC
CMR,Cameroon,SSA,SSA,AFM,LMC
CAN,Canada,OHI,NAC,LAN,HIC
CYM,Cayman Islands,OHI,LAC,LAB,HIC
CAF,Central African Republic,SSA,SSA,AFM,LIC
TCD,Chad,SSA,SSA,AFM,LIC
CHI,Channel Islands,OHI,ECA,EUN,HIC
CHL,Chile,LAC,LAC,LAS,HIC
CHN,China,EAP,EAP,ASE,UMC
COL,Colombia,LAC,LAC,LAS,UMC
COM,Comoros,SSA,SSA,AFE,LIC
COD,"Congo, Democratic Republic of",SSA,SSA,AFM,LIC
COG,"Congo, Republic of",SSA,SSA,AFM,LMC
CRI,Costa Rica,LAC,LAC,LAC,UMC
CIV,Cote d'Ivoire,SSA,SSA,AFW,LMC
HRV,Croatia,ECA,ECA,EUS,UMC
CUB,Cuba,LAC,LAC,LAB,UMC
CUW,Curacao,OHI,EAP,LAB,HIC
CYP,Cyprus,OHI,ECA,ASW,HIC
CZE,Czech Republic,ECA,ECA,EUE,HIC
DNK,Denmark,OHI,ECA,EUN,HIC
DJI,Djibouti,MNA,MNA,AFE,LMC
DMA,Dominica,LAC,LAC,LAB,UMC
DOM,Dominican Republic,LAC,LAC,LAB,UMC
ECU,Ecuador,LAC,LAC,LAS,UMC
EGY,"Egypt, Arab Republic of",MNA,MNA,AFN,LMC
SLV,El Salvador,LAC,LAC,LAC,LMC
GNQ,Equatorial Guinea,SSA,SSA,AFM,UMC
ERI,Eritrea,SSA,SSA,AFE,LIC
EST,Estonia,ECA,ECA,EUN,HIC
SWZ,Eswatini,SSA,SSA,AFS,LMC
ETH,Ethiopia,SSA,SSA,AFE,LIC
FRO,Faroe Islands,OHI,ECA,EUN,HIC
FJI,Fiji,EAP,EAP,OCE,UMC
FIN,Finland,OHI,ECA,EUN,HIC
FRA,France,OHI,ECA,EUW,HIC
PYF,French Polynesia,OHI,EAP,OCP,HIC
GAB,Gabon,SSA,SSA,AFM,UMC
GMB,"Gambia, The",SSA,SSA,AFW,LIC
GEO,Georgia,ECA,ECA,ASW,LMC
DEU,Germany,OHI,ECA,EUW,HIC
GHA,Ghana,SSA,SSA,AFW,LMC
GIB,Gibraltar,OHI,ECA,EUS,HIC
GRC,Greece,OHI,ECA,EUS,HIC
GRL,Greenland,OHI,ECA,LAN,HIC
GRD,Grenada,LAC,LAC,LAB,UMC
GUM,Guam,OHI,EAP,OCM,HIC
GTM,Guatemala,LAC,LAC,LAC,LMC
GIN,Guinea,SSA,SSA,AFW,LIC
GNB,Guinea-Bissau,SSA,SSA,AFW,LIC
GUY,Guyana,LAC,LAC,LAS,UMC
HTI,Haiti,LAC,LAC,LAB,LIC
HND,Honduras,LAC,LAC,LAC,LMC
HKG,"Hong Kong SAR, China",OHI,EAP,ASE,HIC
HUN,Hungary,ECA,ECA,EUE,HIC
ISL,Iceland,OHI,ECA,EUN,HIC
IND,India,SAS,SAS,ASC,LMC
IDN,Indonesia,EAP,EAP,ASS,LMC
IRN,"Iran, Islamic Republic of",MNA,MNA,ASC,UMC
IRQ,Iraq,MNA,MNA,ASW,UMC
IRL,Ireland,OHI,ECA,EUN,HIC
IMN,Isle of Man,OHI,ECA,EUN,HIC
ISR,Israel,OHI,MNA,ASW,HIC
ITA,Italy,OHI,ECA,EUS,HIC
JAM,Jamaica,LAC,LAC,LAB,UMC
JPN,Japan,OHI,EAP,ASE,HIC
JOR,Jordan,MNA,MNA,ASW,LMC
KAZ,Kazakhstan,ECA,ECA,ASC,UMC
KEN,Kenya,SSA,SSA,AFE,LMC
KIR,Kiribati,EAP,EAP,OCM,LMC
PRK,"Korea, Democratic People's Republic of",EAP,EAP,ASE,LIC
KOR,"Korea, Republic of",OHI,EAP,ASE,HIC
KSV,Kosovo,ECA,ECA,EUS,LMC
KWT,Kuwait,OHI,MNA,ASW,HIC
KGZ,Kyrgyz Republic,ECA,ECA,ASC,LMC
LAO,Lao People's Democratic Republic,EAP,EAP,ASS,LMC
LVA,Latvia,ECA,ECA,EUN,HIC
LBN,Lebanon,MNA,MNA,ASW,UMC
LSO,Lesotho,SSA,SSA,AFS,LMC
LBR,Liberia,SSA,SSA,AFW,LIC
LBY,Libya,MNA,MNA,AFN,UMC
LIE,Liechtenstein,OHI,ECA,EUW,HIC
LTU,Lithuania,ECA,ECA,EUN,HIC
LUX,Luxembourg,OHI,ECA,EUW,HIC
MAC,"Macao SAR, China",OHI,EAP,ASE,HIC
MKD,North Macedonia,ECA,ECA,EUS,UMC
MDG,Madagascar,SSA,SSA,AFE,LIC
MWI,Malawi,SSA,SSA,AFE,LIC
MYS,Malaysia,EAP,EAP,ASS,UMC
MDV,Maldives,SAS,SAS,ASC,UMC
MLI,Mali,SSA,SSA,AFW,LIC
MLT,Malta,OHI,ECA,EUS,HIC
MHL,Marshall Islands,EAP,EAP,OCM,UMC
MRT,Mauritania,SSA,SSA,AFW,LMC
MUS,Mauritius,SSA,SSA,AFE,UMC
MYT,Mayotte,SSA,SSA,AFE,UMC
MEX,Mexico,LAC,LAC,LAC,UMC
FSM,"Micronesia, Federated States of",EAP,EAP,OCM,LMC
MDA,Moldova,ECA,ECA,EUE,LMC
MCO,Monaco,OHI,ECA,EUW,HIC
MNG,Mongolia,EAP,EAP,ASE,LMC
MNE,Montenegro,ECA,ECA,EUN,UMC
MAR,Morocco,MNA,MNA,AFN,LMC
MOZ,Mozambique,SSA,SSA,AFE,LIC
MMR,Myanmar,EAP,EAP,ASS,LMC
NAM,Namibia,SSA,SSA,AFS,UMC
NRU,Nauru,OHI,EAP,OCM,UMC
NPL,Nepal,SAS,SAS,ASC,LIC
NLD,Netherlands,OHI,ECA,EUW,HIC
ANT,Netherlands Antilles,OHI,LAC,LAB,HIC
NCL,New Caledonia,OHI,EAP,OCE,HIC
NZL,New Zealand,OHI,EAP,OCA,HIC
NIC,Nicaragua,LAC,LAC,LAC,LMC
NER,Niger,SSA,SSA,AFW,LIC
NGA,Nigeria,SSA,SSA,AFW,LMC
MNP,Northern Mariana Islands,EAP,EAP,OCM,HIC
NOR,Norway,OHI,ECA,EUN,HIC
OMN,Oman,MNA,MNA,ASW,HIC
PAK,Pakistan,SAS,SAS,ASC,LMC
PLW,Palau,EAP,EAP,OCM,HIC
PAN,Panama,LAC,LAC,LAC,UMC
PNG,Papua New Guinea,EAP,EAP,OCE,LMC
PRY,Paraguay,LAC,LAC,LAS,UMC
PER,Peru,LAC,LAC,LAS,UMC
PHL,Philippines,EAP,EAP,ASS,LMC
POL,Poland,ECA,ECA,EUE,HIC
PRT,Portugal,OHI,ECA,EUS,HIC
PRI,Puerto Rico,OHI,LAC,LAB,HIC
QAT,Qatar,OHI,MNA,ASW,HIC
ROU,Romania,ECA,ECA,EUE,UMC
RUS,Russian Federation,ECA,ECA,EUE,UMC
RWA,Rwanda,SSA,SSA,AFE,LIC
WSM,Samoa,EAP,EAP,OCP,UMC
SMR,San Marino,OHI,ECA,EUS,HIC
STP,Sao Tome and Principe,SSA,SSA,AFM,LMC
SAU,Saudi Arabia,OHI,MNA,ASW,HIC
SEN,Senegal,SSA,SSA,AFW,LIC
SRB,Serbia,ECA,ECA,EUN,UMC
SYC,Seychelles,SSA,SSA,AFE,HIC
SLE,Sierra Leone,SSA,SSA,AFW,LIC
SGP,Singapore,OHI,EAP,ASS,HIC
SXM,Sint Maarten (Dutch part),OHI,LAC,LAS,HIC
SVK,Slovak Republic,ECA,ECA,EUE,HIC
SVN,Slovenia,ECA,ECA,EUS,HIC
SLB,Solomon Islands,EAP,EAP,OCE,LMC
SOM,Somalia,SSA,SSA,AFE,LIC
ZAF,South Africa,SSA,SSA,AFS,UMC
SSD,South Sudan,SSA,SSA,AFE,LIC
ESP,Spain,OHI,ECA,EUS,HIC
LKA,Sri Lanka,SAS,SAS,ASC,LMC
KNA,St. Kitts and Nevis,LAC,LAC,LAB,HIC
LCA,St. Lucia,LAC,LAC,LAB,UMC
MAF,St. Martin (French part),LAC,LAC,LAB,HIC
VCT,St. Vincent and the Grenadines,LAC,LAC,LAB,UMC
SDN,Sudan,SSA,SSA,AFN,LMC
SUR,Suriname,LAC,LAC,LAS,UMC
SWE,Sweden,OHI,ECA,EUN,HIC
CHE,Switzerland,OHI,ECA,EUW,HIC
SYR,Syrian Arab Republic,MNA,MNA,ASW,LMC
TWN,"Taiwan, China",OHI,EAP,ASE,HIC
TJK,Tajikistan,ECA,ECA,ASC,LMC
TZA,Tanzania,SSA,SSA,AFE,LIC
THA,Thailand,EAP,EAP,ASS,UMC
TLS,Timor-Leste,EAP,EAP,ASS,LMC
TGO,Togo,SSA,SSA,AFW,LIC
TON,Tonga,EAP,EAP,OCP,UMC
TTO,Trinidad and Tobago,LAC,LAC,LAB,HIC
TUN,Tunisia,MNA,MNA,AFN,LMC
TUR,Turkey,ECA,ECA,ASW,UMC
TKM,Turkmenistan,ECA,ECA,ASC,UMC
TCA,Turks and Caicos Islands,OHI,LAC,LAB,HIC
TUV,Tuvalu,EAP,EAP,OCP,UMC
UGA,Uganda,SSA,SSA,AFE,LIC
UKR,Ukraine,ECA,ECA,EUE,LMC
ARE,United Arab Emirates,OHI,MNA,ASW,HIC
GBR,United Kingdom,OHI,ECA,EUN,HIC
USA,United States,OHI,NAC,LAN,HIC
URY,Uruguay,LAC,LAC,LAS,HIC
UZB,Uzbekistan,ECA,ECA,ASC,LMC
VUT,Vanuatu,EAP,EAP,OCE,LMC
VEN,"Venezuela, Republica Bolivariana de",LAC,LAC,LAS,UMC
VNM,Vietnam,EAP,EAP,ASS,LMC
VIR,"Virgin Islands, US",OHI,LAC,LAB,HIC
WBG,West Bank and Gaza,MNA,MNA,ASW,LMC
YEM,"Yemen, Republic of",MNA,MNA,ASW,LMC
ZMB,Zambia,SSA,SSA,AFE,LMC
ZWE,Zimbabwe,SSA,SSA,AFE,LIC
